datetime,open,high,low,close,volume,amount
2026-05-20 13:36:00,38.98,39.05,38.98,39.02,187700,7324054.000000001
2026-05-20 13:37:00,39.02,39.06,38.9,39.0,351500,13708500.0
2026-05-20 13:38:00,39.0,39.24,38.99,39.21,382000,14978220.0
2026-05-20 13:39:00,39.21,39.57,39.2,39.52,970801,38366055.52
2026-05-20 13:40:00,39.55,39.85,39.51,39.76,1579400,62796944.0
2026-05-20 13:41:00,39.76,39.99,39.67,39.98,1033000,41299340.0
2026-05-20 13:42:00,39.99,40.18,39.86,39.86,1881100,74980646.0
2026-05-20 13:43:00,39.86,39.89,39.76,39.76,458500,18229960.0
2026-05-20 13:44:00,39.76,39.83,39.67,39.79,290500,11558995.0
2026-05-20 13:45:00,39.79,39.85,39.78,39.81,323800,12890478.0
2026-05-20 13:46:00,39.81,39.81,39.71,39.77,269700,10725969.0
2026-05-20 13:47:00,39.8,39.83,39.65,39.65,196400,7787260.0
2026-05-20 13:48:00,39.67,39.8,39.6,39.78,305200,12140856.0
2026-05-20 13:49:00,39.79,39.99,39.76,39.95,405069,16182506.55
2026-05-20 13:50:00,39.95,40.0,39.86,39.9,263700,10521630.0
2026-05-20 13:51:00,39.92,40.19,39.89,40.15,971439,39003275.85
2026-05-20 13:52:00,40.15,40.18,39.94,39.94,281100,11227134.0
2026-05-20 13:53:00,39.95,39.97,39.88,39.9,217000,8658300.0
2026-05-20 13:54:00,39.9,39.93,39.87,39.91,130500,5208255.0
2026-05-20 13:55:00,39.9,39.94,39.88,39.94,266000,10624040.0
2026-05-20 13:56:00,39.93,39.97,39.86,39.87,275300,10976211.0
2026-05-20 13:57:00,39.88,39.9,39.83,39.83,142400,5671792.0
2026-05-20 13:58:00,39.83,39.88,39.82,39.86,114800,4575928.0
2026-05-20 13:59:00,39.88,39.89,39.76,39.77,224000,8908480.0
2026-05-20 14:00:00,39.79,39.89,39.77,39.85,100400,4000940.0
2026-05-20 14:01:00,39.84,39.87,39.81,39.85,113200,4511020.0
2026-05-20 14:02:00,39.83,39.89,39.73,39.73,220600,8764438.0
2026-05-20 14:03:00,39.74,39.82,39.73,39.8,101400,4035719.9999999995
2026-05-20 14:04:00,39.82,39.9,39.81,39.88,161800,6452584.0
2026-05-20 14:05:00,39.88,39.91,39.8,39.84,134400,5354496.0
2026-05-20 14:06:00,39.84,39.86,39.78,39.8,177300,7056539.999999999
2026-05-20 14:07:00,39.82,39.88,39.81,39.84,137100,5462064.000000001
2026-05-20 14:08:00,39.84,39.87,39.73,39.78,218800,8703864.0
2026-05-20 14:09:00,39.76,39.8,39.72,39.72,190100,7550772.0
2026-05-20 14:10:00,39.72,39.75,39.61,39.66,133400,5290644.0
2026-05-20 14:11:00,39.66,39.73,39.66,39.71,96312,3824549.52
2026-05-20 14:12:00,39.69,39.73,39.67,39.71,118900,4721519.0
2026-05-20 14:13:00,39.7,39.71,39.66,39.69,117300,4655637.0
2026-05-20 14:14:00,39.7,39.72,39.66,39.69,104300,4139666.9999999995
2026-05-20 14:15:00,39.68,39.75,39.68,39.73,169300,6726288.999999999
2026-05-20 14:16:00,39.74,39.78,39.67,39.75,118300,4702425.0
