sample_id,stock_code,stock_name,predict_date,feature_date,target_date,rule_version,config_hash,run_id,source_files,data_status
002213_2026-07-19_v2.0,002213,大为股份,2026-07-19,2026-07-19,2026-07-20,v2.0,fc79cb66696f,2026-07-19 10:59:11,output/final_watchlist.csv;output/next_day_review.csv;output/market_environment.json;output/run_manifest.json;output/daily_plan.md;output/trade_records.csv,ready
002378_2026-07-19_v2.0,002378,章源钨业,2026-07-19,2026-07-19,2026-07-20,v2.0,fc79cb66696f,2026-07-19 10:59:11,output/final_watchlist.csv;output/next_day_review.csv;output/market_environment.json;output/run_manifest.json;output/daily_plan.md;output/trade_records.csv,ready
601168_2026-07-19_v2.0,601168,西部矿业,2026-07-19,2026-07-19,2026-07-20,v2.0,fc79cb66696f,2026-07-19 10:59:11,output/final_watchlist.csv;output/next_day_review.csv;output/market_environment.json;output/run_manifest.json;output/daily_plan.md;output/trade_records.csv,ready
000426_2026-07-19_v2.0,000426,兴业银锡,2026-07-19,2026-07-19,2026-07-20,v2.0,fc79cb66696f,2026-07-19 10:59:11,output/final_watchlist.csv;output/next_day_review.csv;output/market_environment.json;output/run_manifest.json;output/daily_plan.md;output/trade_records.csv,ready
688005_2026-07-19_v2.0,688005,容百科技,2026-07-19,2026-07-19,2026-07-20,v2.0,fc79cb66696f,2026-07-19 10:59:11,output/final_watchlist.csv;output/next_day_review.csv;output/market_environment.json;output/run_manifest.json;output/daily_plan.md;output/trade_records.csv,ready
300450_2026-07-19_v2.0,300450,先导智能,2026-07-19,2026-07-19,2026-07-20,v2.0,fc79cb66696f,2026-07-19 10:59:11,output/final_watchlist.csv;output/next_day_review.csv;output/market_environment.json;output/run_manifest.json;output/daily_plan.md;output/trade_records.csv,ready
002335_2026-07-19_v2.0,002335,科华数据,2026-07-19,2026-07-19,2026-07-20,v2.0,fc79cb66696f,2026-07-19 10:59:11,output/final_watchlist.csv;output/next_day_review.csv;output/market_environment.json;output/run_manifest.json;output/daily_plan.md;output/trade_records.csv,ready
688126_2026-07-19_v2.0,688126,沪硅产业,2026-07-19,2026-07-19,2026-07-20,v2.0,fc79cb66696f,2026-07-19 10:59:11,output/final_watchlist.csv;output/next_day_review.csv;output/market_environment.json;output/run_manifest.json;output/daily_plan.md;output/trade_records.csv,ready
000960_2026-07-19_v2.0,000960,锡业股份,2026-07-19,2026-07-19,2026-07-20,v2.0,fc79cb66696f,2026-07-19 10:59:11,output/final_watchlist.csv;output/next_day_review.csv;output/market_environment.json;output/run_manifest.json;output/daily_plan.md;output/trade_records.csv,ready
688106_2026-07-19_v2.0,688106,金宏气体,2026-07-19,2026-07-19,2026-07-20,v2.0,fc79cb66696f,2026-07-19 10:59:11,output/final_watchlist.csv;output/next_day_review.csv;output/market_environment.json;output/run_manifest.json;output/daily_plan.md;output/trade_records.csv,ready
301171_2026-07-19_v2.0,301171,易点天下,2026-07-19,2026-07-19,2026-07-20,v2.0,fc79cb66696f,2026-07-19 10:59:11,output/final_watchlist.csv;output/next_day_review.csv;output/market_environment.json;output/run_manifest.json;output/daily_plan.md;output/trade_records.csv,ready
688006_2026-07-19_v2.0,688006,杭可科技,2026-07-19,2026-07-19,2026-07-20,v2.0,fc79cb66696f,2026-07-19 10:59:11,output/final_watchlist.csv;output/next_day_review.csv;output/market_environment.json;output/run_manifest.json;output/daily_plan.md;output/trade_records.csv,ready
600391_2026-07-19_v2.0,600391,航发科技,2026-07-19,2026-07-19,2026-07-20,v2.0,fc79cb66696f,2026-07-19 10:59:11,output/final_watchlist.csv;output/next_day_review.csv;output/market_environment.json;output/run_manifest.json;output/daily_plan.md;output/trade_records.csv,ready
600482_2026-07-19_v2.0,600482,中国动力,2026-07-19,2026-07-19,2026-07-20,v2.0,fc79cb66696f,2026-07-19 10:59:11,output/final_watchlist.csv;output/next_day_review.csv;output/market_environment.json;output/run_manifest.json;output/daily_plan.md;output/trade_records.csv,ready
300693_2026-07-19_v2.0,300693,盛弘股份,2026-07-19,2026-07-19,2026-07-20,v2.0,fc79cb66696f,2026-07-19 10:59:11,output/final_watchlist.csv;output/next_day_review.csv;output/market_environment.json;output/run_manifest.json;output/daily_plan.md;output/trade_records.csv,ready
603078_2026-07-19_v2.0,603078,江化微,2026-07-19,2026-07-19,2026-07-20,v2.0,fc79cb66696f,2026-07-19 10:59:11,output/final_watchlist.csv;output/next_day_review.csv;output/market_environment.json;output/run_manifest.json;output/daily_plan.md;output/trade_records.csv,ready
002792_2026-07-19_v2.0,002792,通宇通讯,2026-07-19,2026-07-19,2026-07-20,v2.0,fc79cb66696f,2026-07-19 10:59:11,output/final_watchlist.csv;output/next_day_review.csv;output/market_environment.json;output/run_manifest.json;output/daily_plan.md;output/trade_records.csv,ready
300566_2026-07-19_v2.0,300566,激智科技,2026-07-19,2026-07-19,2026-07-20,v2.0,fc79cb66696f,2026-07-19 10:59:11,output/final_watchlist.csv;output/next_day_review.csv;output/market_environment.json;output/run_manifest.json;output/daily_plan.md;output/trade_records.csv,ready
688596_2026-07-19_v2.0,688596,正帆科技,2026-07-19,2026-07-19,2026-07-20,v2.0,fc79cb66696f,2026-07-19 10:59:11,output/final_watchlist.csv;output/next_day_review.csv;output/market_environment.json;output/run_manifest.json;output/daily_plan.md;output/trade_records.csv,ready
301669_2026-07-19_v2.0,301669,高特电子,2026-07-19,2026-07-19,2026-07-20,v2.0,fc79cb66696f,2026-07-19 10:59:11,output/final_watchlist.csv;output/next_day_review.csv;output/market_environment.json;output/run_manifest.json;output/daily_plan.md;output/trade_records.csv,ready
