sample_id,stock_code,feature_date,ret_1d,ret_3d,ret_5d,ret_20d,ma5_gap,ma10_gap,ma20_gap,ma5_slope,ma10_slope,atr_14,hist_vol_20,range_5d,amount,avg_amount_5d,turnover_rate,volume_ratio,body_pct,upper_shadow_pct,lower_shadow_pct,gap_open_pct,open_strength,first_15m_return,first_15m_drawdown,vwap_gap,path_rebound,path_fade,path_break_morning_high,market_regime,market_risk_level,market_atr,panic_score,sector_name,sector_status,sector_rank_1d,sector_rank_5d,sector_breadth,sector_leader_pct,candidate_score,tail_score,final_score,overnight_grade,risk_level
002213_2026-07-19_v2.0,002213,2026-07-19,3.1,,0.0,,0.0,,,,,,,8.16,1408639928.9,0.0,,1.21,,,,-0.6199999999999974,,,,,1,0,1,情绪冰点,极高,,,数字芯片设计,回避,494.0,14.0,49.02,6.96,95.0,100.0,98.0,A,
002378_2026-07-19_v2.0,002378,2026-07-19,16.17,,0.0,,0.0,,,,,,,10.32,5992333764.91,0.0,,0.7,,,,2.6199999999999974,,,,,1,1,1,情绪冰点,极高,,,钨,强,39.0,6.0,50.0,6.39,100.0,90.0,94.0,A,
601168_2026-07-19_v2.0,601168,2026-07-19,6.0,,0.0,,0.0,,,,,,,8.42,2950663900.18,0.0,,0.98,,,,-0.17999999999999972,,,,,1,0,1,情绪冰点,极高,,,铜,回避,376.0,20.0,11.76,0.95,95.0,90.0,92.0,A,
000426_2026-07-19_v2.0,000426,2026-07-19,5.91,,0.0,,0.0,,,,,,,11.2,4660682380.49,0.0,,0.82,,,,-1.3599999999999994,,,,,1,0,1,情绪冰点,极高,,,贵金属,回避,407.0,42.0,0.0,-1.61,95.0,90.0,92.0,A,
688005_2026-07-19_v2.0,688005,2026-07-19,2.57,,0.0,,0.0,,,,,,,9.09,1229352854.07,0.0,,0.94,,,,-1.3399999999999963,,,,,1,0,1,情绪冰点,极高,,,电池化学品,回避,469.0,65.0,30.77,7.39,90.0,90.0,90.0,A,
300450_2026-07-19_v2.0,300450,2026-07-19,-1.62,,0.0,,0.0,,,,,,,4.84,3860685485.01,0.0,,0.97,,,,-2.1300000000000026,,,,,1,0,1,情绪冰点,极高,,,电池,回避,483.0,37.0,23.26,10.01,95.0,80.0,86.0,A,
002335_2026-07-19_v2.0,002335,2026-07-19,2.93,,0.0,,0.0,,,,,,,4.06,1398568485.12,0.0,,1.2,,,,0.5200000000000031,,,,,1,1,0,情绪冰点,极高,,,其他电源设备Ⅱ,回避,455.0,27.0,33.33,10.14,90.0,80.0,84.0,A,
688126_2026-07-19_v2.0,688126,2026-07-19,4.63,,0.0,,0.0,,,,,,,6.57,8435001575.36,0.0,,0.7,,,,0.9299999999999997,,,,,1,1,0,情绪冰点,极高,,,半导体,回避,495.0,12.0,40.68,19.99,95.0,55.0,71.0,B,
000960_2026-07-19_v2.0,000960,2026-07-19,10.81,,0.0,,0.0,,,,,,,5.89,4776034293.01,0.0,,0.06,,,,2.4100000000000037,,,,,0,0,0,情绪冰点,极高,,,nan,nan,0.0,0.0,0.0,0.0,95.0,55.0,71.0,B,
688106_2026-07-19_v2.0,688106,2026-07-19,5.26,,0.0,,0.0,,,,,,,8.82,1930260570.98,0.0,,0.71,,,,-0.1700000000000017,,,,,0,0,0,情绪冰点,极高,,,电子化学品Ⅱ,回避,472.0,7.0,18.18,13.29,95.0,45.0,65.0,B,
301171_2026-07-19_v2.0,301171,2026-07-19,5.42,,0.0,,0.0,,,,,,,6.63,2320225807.32,0.0,,1.1,,,,0.28999999999999915,,,,,1,1,0,情绪冰点,极高,,,营销代理,回避,464.0,171.0,8.0,2.99,95.0,45.0,65.0,B,
688006_2026-07-19_v2.0,688006,2026-07-19,-0.45,,0.0,,0.0,,,,,,,4.29,867522354.13,0.0,,0.99,,,,-0.6000000000000014,,,,,1,0,0,情绪冰点,极高,,,电池,回避,483.0,37.0,23.26,10.01,90.0,45.0,63.0,C,
600391_2026-07-19_v2.0,600391,2026-07-19,2.23,,0.0,,0.0,,,,,,,5.99,438924806.63,0.0,,1.31,,,,0.1599999999999966,,,,,0,0,0,情绪冰点,极高,,,国防军工,回避,417.0,86.0,18.58,10.01,90.0,45.0,63.0,C,
600482_2026-07-19_v2.0,600482,2026-07-19,9.23,,0.0,,0.0,,,,,,,6.06,1719579468.62,0.0,,0.76,,,,1.7100000000000009,,,,,0,0,0,情绪冰点,极高,,,其他电源设备Ⅱ,回避,455.0,27.0,33.33,10.14,90.0,45.0,63.0,C,
300693_2026-07-19_v2.0,300693,2026-07-19,1.95,,0.0,,0.0,,,,,,,4.02,702067854.55,0.0,,1.17,,,,0.14999999999999858,,,,,0,0,0,情绪冰点,极高,,,其他电源设备Ⅱ,回避,455.0,27.0,33.33,10.14,85.0,45.0,61.0,C,
603078_2026-07-19_v2.0,603078,2026-07-19,-2.98,,0.0,,0.0,,,,,,,3.83,1537758836.15,0.0,,1.15,,,,-1.1200000000000045,,,,,0,0,0,情绪冰点,极高,,,电子化学品Ⅱ,回避,472.0,7.0,18.18,13.29,95.0,25.0,53.0,C,
002792_2026-07-19_v2.0,002792,2026-07-19,-1.94,,0.0,,0.0,,,,,,,7.09,1104044185.87,0.0,,0.94,,,,0.01999999999999602,,,,,0,0,0,情绪冰点,极高,,,通信,未知,45.0,36.0,31.71,10.0,90.0,25.0,51.0,C,
300566_2026-07-19_v2.0,300566,2026-07-19,-4.87,,0.0,,0.0,,,,,,,10.71,1132299778.62,0.0,,0.96,,,,0.8399999999999963,,,,,1,1,0,情绪冰点,极高,,,nan,nan,0.0,0.0,0.0,0.0,100.0,0.0,40.0,D,
688596_2026-07-19_v2.0,688596,2026-07-19,-3.57,,0.0,,0.0,,,,,,,7.84,936093842.3,0.0,,0.68,,,,-0.29999999999999716,,,,,1,1,0,情绪冰点,极高,,,nan,nan,0.0,0.0,0.0,0.0,98.0,0.0,39.2,D,
301669_2026-07-19_v2.0,301669,2026-07-19,8.53,,0.0,,0.0,,,,,,,12.72,1397337543.0,0.0,,0.72,,,,4.359999999999999,,,,,0,1,0,情绪冰点,极高,,,nan,nan,0.0,0.0,0.0,0.0,85.0,0.0,34.0,D,
