sample_id,stock_code,predict_date,target_date,direction_up_close,touch_buy_range,hit_1pct_after_touch,hit_2pct_after_touch,stop_2pct_after_touch,first_event,next_day_high_pct,next_day_low_pct,realized_path_type,execution_quality,label_source
601231_2026-05-27_v2.0,601231,2026-05-27,2026-05-26,0,,0,0,1,stop_loss,-3.07,-7.88,强势横盘型,可执行止损或失败,next_day_review
002625_2026-05-27_v2.0,002625,2026-05-27,2026-05-26,0,,0,0,1,stop_loss,-1.27,-6.53,急跌修复成功型,可执行止损或失败,next_day_review
300943_2026-05-27_v2.0,300943,2026-05-27,2026-05-26,0,,1,1,1,stop_loss,5.07,-3.36,急跌修复成功型,可执行止损或失败,next_day_review
002138_2026-05-27_v2.0,002138,2026-05-27,2026-05-26,0,,0,0,1,stop_loss,-4.27,-8.24,普通震荡型,可执行止损或失败,next_day_review
601021_2026-05-27_v2.0,601021,2026-05-27,2026-05-26,0,,1,0,0,hit_1pct,1.24,-1.16,急跌修复成功型,可执行盈利,next_day_review
300623_2026-05-27_v2.0,300623,2026-05-27,2026-05-26,0,,0,0,1,stop_loss,-1.39,-6.06,高波动震荡型,可执行止损或失败,next_day_review
605020_2026-05-27_v2.0,605020,2026-05-27,2026-05-26,0,,0,0,1,stop_loss,-0.2,-6.66,高波动震荡型,可执行止损或失败,next_day_review
688593_2026-05-27_v2.0,688593,2026-05-27,2026-05-26,1,,1,1,1,stop_loss,6.61,-4.62,高波动震荡型,可执行止损或失败,next_day_review
688116_2026-05-27_v2.0,688116,2026-05-27,2026-05-26,0,,0,0,1,stop_loss,0.26,-9.15,普通震荡型,可执行止损或失败,next_day_review
300339_2026-05-27_v2.0,300339,2026-05-27,2026-05-26,1,,1,1,0,hit_2pct,7.2,-0.81,普通震荡型,可执行盈利,next_day_review
300398_2026-05-27_v2.0,300398,2026-05-27,2026-05-26,1,,1,1,0,hit_2pct,10.54,0.28,急跌修复失败型,可执行盈利,next_day_review
002645_2026-05-27_v2.0,002645,2026-05-27,2026-05-26,1,,1,1,0,hit_2pct,6.28,-0.57,急跌修复失败型,可执行盈利,next_day_review
300433_2026-05-27_v2.0,300433,2026-05-27,2026-05-26,1,,1,1,1,stop_loss,2.82,-2.3,急跌修复失败型,可执行止损或失败,next_day_review
688388_2026-05-27_v2.0,688388,2026-05-27,2026-05-26,1,,1,1,1,stop_loss,3.45,-3.78,弱势收盘型,可执行止损或失败,next_day_review
000807_2026-05-27_v2.0,000807,2026-05-27,2026-05-26,1,,1,1,1,stop_loss,6.45,-4.27,弱势收盘型,可执行止损或失败,next_day_review
000426_2026-05-27_v2.0,000426,2026-05-27,2026-05-26,1,,1,1,1,stop_loss,5.25,-3.59,弱势收盘型,可执行止损或失败,next_day_review
688262_2026-05-27_v2.0,688262,2026-05-27,2026-05-26,0,,1,1,1,stop_loss,6.13,-2.65,急跌修复失败型,可执行止损或失败,next_day_review
600895_2026-05-27_v2.0,600895,2026-05-27,2026-05-26,1,,1,1,0,hit_2pct,6.55,1.47,急跌修复失败型,可执行盈利,next_day_review
300520_2026-05-27_v2.0,300520,2026-05-27,2026-05-26,1,,1,1,0,hit_2pct,4.92,0.6,急跌修复失败型,可执行盈利,next_day_review
688381_2026-05-27_v2.0,688381,2026-05-27,2026-05-26,0,,1,1,1,stop_loss,4.23,-2.86,急跌修复失败型,可执行止损或失败,next_day_review
