因子值,数量,成功数,达到1数量,达到2数量,止损数量,平均最高涨幅,平均收盘涨幅,成功率,达到1%率,达到2%率,止损率,因子类型
B,3,0,1,1,3,0.24,-3.98,0.0,33.33,33.33,100.0,隔夜建议等级
C,6,1,2,1,5,0.38,-2.16,16.67,33.33,16.67,83.33,隔夜建议等级
D,11,5,11,11,6,5.8,2.26,45.45,100.0,100.0,54.55,隔夜建议等级
弱势收盘型,3,0,3,3,3,5.05,4.03,0.0,100.0,100.0,100.0,分时结构标签
强势横盘型,1,0,0,0,1,-3.07,-4.3,0.0,0.0,0.0,100.0,分时结构标签
急跌修复失败型,7,4,7,7,3,5.92,1.6,57.14,100.0,100.0,42.86,分时结构标签
急跌修复成功型,3,1,2,1,2,1.68,-2.67,33.33,66.67,33.33,66.67,分时结构标签
普通震荡型,3,1,1,1,2,1.06,-2.53,33.33,33.33,33.33,66.67,分时结构标签
高波动震荡型,3,0,1,1,3,1.67,-1.13,0.0,33.33,33.33,100.0,分时结构标签
尾盘无承接,10,4,10,10,6,5.66,2.33,40.0,100.0,100.0,60.0,尾盘抢筹标签
尾盘普通,10,2,4,3,8,1.02,-2.33,20.0,40.0,30.0,80.0,尾盘抢筹标签
