验证日期,股票代码,股票名称,热点标签,分时结构标签,尾盘抢筹标签,隔夜建议等级,候选评分,尾盘评分,最终评分,买入参考价,次日日期,次日开盘,次日最高,次日最低,次日收盘,次日开盘涨幅,次日最高涨幅,次日最低涨幅,次日收盘涨幅,是否达到1%,是否达到2%,是否触发-2%止损,是否验证成功
2026-05-27,601231,环旭电子,半导体；消费电子,强势横盘型,尾盘普通,B,90.0,55.0,69.0,43.29,2026-05-26,41.9,41.96,39.88,41.43,-3.21,-3.07,-7.88,-4.3,否,否,是,否
2026-05-27,002625,光启技术,未归类,急跌修复成功型,尾盘普通,B,95.0,45.0,65.0,41.83,2026-05-26,40.5,41.3,39.1,39.59,-3.18,-1.27,-6.53,-5.36,否,否,是,否
2026-05-27,300943,春晖智控,未归类,急跌修复成功型,尾盘普通,B,95.0,45.0,65.0,41.4,2026-05-26,41.13,43.5,40.01,40.46,-0.65,5.07,-3.36,-2.27,是,是,是,否
2026-05-27,002138,顺络电子,半导体；消费电子,普通震荡型,尾盘普通,C,90.0,45.0,63.0,48.05,2026-05-26,45.32,46.0,44.09,45.15,-5.68,-4.27,-8.24,-6.04,否,否,是,否
2026-05-27,601021,春秋航空,军工；低空经济,急跌修复成功型,尾盘普通,C,90.0,45.0,63.0,48.32,2026-05-26,48.1,48.92,47.76,48.14,-0.46,1.24,-1.16,-0.37,是,否,否,是
2026-05-27,300623,捷捷微电,半导体,高波动震荡型,尾盘普通,C,100.0,35.0,61.0,36.81,2026-05-26,35.9,36.3,34.58,35.25,-2.47,-1.39,-6.06,-4.24,否,否,是,否
2026-05-27,605020,永和股份,未归类,高波动震荡型,尾盘普通,C,95.0,35.0,59.0,34.37,2026-05-26,33.0,34.3,32.08,33.78,-3.99,-0.2,-6.66,-1.72,否,否,是,否
2026-05-27,688593,新相微,未归类,高波动震荡型,尾盘普通,C,95.0,35.0,59.0,41.73,2026-05-26,40.09,44.49,39.8,42.8,-3.93,6.61,-4.62,2.56,是,是,是,否
2026-05-27,688116,天奈科技,软件,普通震荡型,尾盘普通,C,90.0,35.0,57.0,45.55,2026-05-26,41.54,45.67,41.38,44.12,-8.8,0.26,-9.15,-3.14,否,否,是,否
2026-05-27,300339,润和软件,软件,普通震荡型,尾盘普通,D,90.0,20.0,48.0,44.71,2026-05-26,44.51,47.93,44.35,45.42,-0.45,7.2,-0.81,1.59,是,是,否,是
2026-05-27,300398,飞凯材料,化工,急跌修复失败型,尾盘无承接,D,100.0,0.0,40.0,38.99,2026-05-26,41.8,43.1,39.1,40.15,7.21,10.54,0.28,2.98,是,是,否,是
2026-05-27,002645,华宏科技,软件,急跌修复失败型,尾盘无承接,D,95.0,0.0,38.0,31.52,2026-05-26,33.1,33.5,31.34,32.59,5.01,6.28,-0.57,3.39,是,是,否,是
2026-05-27,300433,蓝思科技,消费电子；软件,急跌修复失败型,尾盘无承接,D,95.0,0.0,38.0,38.28,2026-05-26,39.01,39.36,37.4,38.48,1.91,2.82,-2.3,0.52,是,是,是,否
2026-05-27,688388,嘉元科技,软件,弱势收盘型,尾盘无承接,D,90.0,0.0,36.0,45.21,2026-05-26,44.7,46.77,43.5,46.39,-1.13,3.45,-3.78,2.61,是,是,是,否
2026-05-27,000807,云铝股份,算力；有色金属,弱势收盘型,尾盘无承接,D,90.0,0.0,36.0,30.21,2026-05-26,29.52,32.16,28.92,31.69,-2.28,6.45,-4.27,4.9,是,是,是,否
2026-05-27,000426,兴业银锡,有色金属,弱势收盘型,尾盘无承接,D,90.0,0.0,36.0,41.75,2026-05-26,40.8,43.94,40.25,43.66,-2.28,5.25,-3.59,4.57,是,是,是,否
2026-05-27,688262,国芯科技,软件,急跌修复失败型,尾盘无承接,D,90.0,0.0,36.0,41.09,2026-05-26,43.61,43.61,40.0,40.95,6.13,6.13,-2.65,-0.34,是,是,是,否
2026-05-27,600895,张江高科,未归类,急跌修复失败型,尾盘无承接,D,90.0,0.0,36.0,37.99,2026-05-26,40.2,40.48,38.55,39.32,5.82,6.55,1.47,3.5,是,是,否,是
2026-05-27,300520,科大国创,未归类,急跌修复失败型,尾盘无承接,D,85.0,0.0,34.0,38.38,2026-05-26,39.06,40.27,38.61,39.34,1.77,4.92,0.6,2.5,是,是,否,是
2026-05-27,688381,帝奥微,未归类,急跌修复失败型,尾盘无承接,D,85.0,0.0,34.0,45.4,2026-05-26,47.06,47.32,44.1,44.8,3.66,4.23,-2.86,-1.32,是,是,是,否
