验证日期,股票代码,股票名称,固定持仓,置顶原因,行情刷新状态,数据状态,分时结构标签,尾盘抢筹标签,隔夜建议等级,候选评分,尾盘评分,最终评分,买入参考价,计划低吸下限,计划低吸上限,计划验证买入价,计划止损价,次日日期,次日开盘,次日最高,次日最低,次日收盘,次日开盘涨幅,次日最高涨幅,次日最低涨幅,次日收盘涨幅,是否达到1%,是否达到2%,是否触发-2%止损,是否触达低吸区间,触达后是否达到1%,触达后是否达到2%,触达后是否触发-2%止损,执行验证结果,时序判断,是否验证成功
2026-07-23,002192,融捷股份,是,固定持仓每日跟踪,日线已刷新,ready,固定持仓,固定持仓,持仓,0.0,0.0,0.0,60.4,59.19,59.8,59.8,58.6,2026-07-22,57.89,61.4,57.79,60.4,-4.16,1.66,-4.32,0.0,是,否,是,是,是,是,是,风险触发,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,否
2026-07-23,002213,大为股份,是,固定持仓每日跟踪,日线已刷新,ready,固定持仓,固定持仓,持仓,0.0,0.0,0.0,27.49,26.94,27.22,27.22,26.67,2026-07-22,25.98,27.49,25.75,27.49,-5.49,0.0,-6.33,0.0,否,否,是,是,是,否,是,风险触发,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,否
2026-07-23,000933,神火股份,是,固定持仓每日跟踪,日线已刷新,ready,固定持仓,固定持仓,持仓,0.0,0.0,0.0,25.0,24.5,24.75,24.75,24.25,2026-07-22,24.66,25.45,24.3,25.0,-1.36,1.8,-2.8,0.0,是,否,是,是,是,是,否,给买点且成功,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,是
2026-07-23,002466,天齐锂业,是,固定持仓每日跟踪,日线已刷新,ready,固定持仓,固定持仓,持仓,0.0,0.0,0.0,43.92,43.04,43.48,43.48,42.61,2026-07-22,42.83,44.78,42.6,43.92,-2.48,1.96,-3.01,0.0,是,否,是,是,是,是,是,风险触发,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,否
2026-07-23,600096,云天化,是,固定持仓每日跟踪,日线已刷新,ready,固定持仓,固定持仓,持仓,0.0,0.0,0.0,29.6,29.01,29.3,29.3,28.72,2026-07-22,28.58,29.79,28.36,29.6,-3.45,0.64,-4.19,0.0,否,否,是,是,是,否,是,风险触发,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,否
2026-07-23,600938,中国海油,否,,日线已刷新,ready,强势横盘型,尾盘普通,C,80.0,30.0,50.0,32.99,32.33,32.66,32.66,32.01,2026-07-22,31.68,32.63,31.46,32.39,-3.97,-1.09,-4.64,-1.82,否,否,是,是,否,否,是,风险触发,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,否
2026-07-23,002841,视源股份,否,,日线已刷新,ready,急跌修复失败型,尾盘无承接,D,88.0,0.0,35.2,45.9,44.98,45.44,45.44,44.53,2026-07-22,47.5,48.9,46.55,47.88,3.49,6.54,1.42,4.31,是,是,否,否,否,否,否,未给买点,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,否
2026-07-23,000628,高新发展,否,,日线已刷新,ready,弱势收盘型,尾盘无承接,D,88.0,0.0,35.2,36.4,35.67,36.04,36.04,35.32,2026-07-22,34.98,37.99,34.24,36.69,-3.9,4.37,-5.93,0.8,是,是,是,是,是,是,是,风险触发,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,否
2026-07-23,600536,中国软件,否,,日线已刷新,ready,弱势收盘型,尾盘无承接,D,90.0,0.0,36.0,33.95,33.27,33.61,33.61,32.94,2026-07-22,32.92,35.29,32.35,34.9,-3.03,3.95,-4.71,2.8,是,是,是,是,是,是,是,风险触发,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,否
2026-07-23,300433,蓝思科技,否,,日线已刷新,ready,急跌修复失败型,尾盘无承接,D,93.0,0.0,37.2,36.58,35.85,36.21,36.21,35.49,2026-07-22,37.8,39.0,36.46,36.8,3.34,6.62,-0.33,0.6,是,是,否,否,否,否,否,未给买点,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,否
2026-07-23,300759,康龙化成,否,,日线已刷新,ready,急跌修复失败型,尾盘普通,D,95.0,0.0,38.0,39.0,38.22,38.61,38.61,37.84,2026-07-22,38.4,41.04,37.65,39.76,-1.54,5.23,-3.46,1.95,是,是,是,是,是,是,是,风险触发,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,否
2026-07-23,300657,弘信电子,否,,日线已刷新,ready,弱势收盘型,尾盘无承接,D,98.0,0.0,39.2,33.22,32.56,32.89,32.89,32.23,2026-07-22,32.89,35.12,32.68,33.68,-0.99,5.72,-1.63,1.38,是,是,否,是,是,是,否,给买点且成功,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,是
2026-07-23,688249,晶合集成,否,,日线已刷新,ready,急跌修复失败型,尾盘无承接,D,98.0,0.0,39.2,45.42,44.51,44.97,44.97,44.07,2026-07-22,48.7,50.3,47.6,48.5,7.22,10.74,4.8,6.78,是,是,否,否,否,否,否,未给买点,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,否
2026-07-23,603127,昭衍新药,否,,日线已刷新,ready,弱势收盘型,尾盘无承接,D,100.0,0.0,40.0,48.49,47.52,48.01,48.01,47.04,2026-07-23,47.82,51.35,47.82,48.49,-1.38,5.9,-1.38,0.0,是,是,否,是,是,是,否,给买点且成功,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,是
2026-07-23,600301,华锡有色,否,,日线已刷新,ready,普通震荡型,尾盘普通,C,88.0,45.0,62.2,41.83,40.99,41.41,41.41,40.58,2026-07-22,39.96,42.3,39.9,40.4,-4.47,1.12,-4.61,-3.42,是,否,是,是,是,是,是,风险触发,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,否
2026-07-23,300316,晶盛机电,否,,日线已刷新,ready,普通震荡型,尾盘普通,C,90.0,30.0,54.0,39.12,38.34,38.73,38.73,37.95,2026-07-22,38.1,40.38,38.01,39.76,-2.61,3.22,-2.84,1.64,是,是,是,是,是,是,否,给买点且成功,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,是
2026-07-23,000831,中国稀土,否,,日线已刷新,ready,急跌修复成功型,尾盘普通,C,90.0,35.0,57.0,49.78,48.78,49.28,49.28,48.3,2026-07-22,49.01,49.5,48.4,49.36,-1.55,-0.56,-2.77,-0.84,否,否,是,是,否,否,否,给买点但失败,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,否
2026-07-23,600362,江西铜业,否,,日线已刷新,ready,尾盘资金回流型,尾盘普通,C,90.0,45.0,63.0,45.06,44.16,44.61,44.61,43.72,2026-07-22,41.71,44.42,41.71,43.05,-7.43,-1.42,-7.43,-4.46,否,否,是,是,否,否,是,风险触发,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,否
2026-07-23,000960,锡业股份,否,,日线已刷新,ready,强势横盘型,尾盘普通,B,100.0,45.0,67.0,32.83,32.17,32.5,32.5,31.85,2026-07-22,31.39,32.96,31.2,31.9,-4.39,0.4,-4.96,-2.83,否,否,是,是,是,否,是,风险触发,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,否
2026-07-23,600066,宇通客车,否,,日线已刷新,ready,急跌修复成功型,尾盘普通,B,90.0,55.0,69.0,32.18,31.54,31.86,31.86,31.22,2026-07-22,31.2,31.2,29.62,30.98,-3.05,-3.05,-7.96,-3.73,否,否,是,否,否,否,否,未给买点,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,否
2026-07-23,603799,华友钴业,否,,日线已刷新,ready,强势横盘型,尾盘普通,B,90.0,55.0,69.0,41.55,40.72,41.13,41.13,40.31,2026-07-22,39.51,41.07,39.03,39.8,-4.91,-1.16,-6.06,-4.21,否,否,是,是,否,否,是,风险触发,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,否
2026-07-23,300919,中伟新材,否,,日线已刷新,ready,急跌修复成功型,尾盘普通,B,90.0,55.0,69.0,41.13,40.31,40.72,40.72,39.9,2026-07-22,38.47,39.0,37.8,38.2,-6.47,-5.18,-8.1,-7.12,否,否,是,否,否,否,否,未给买点,日线OHLC无法确认高低点先后，按计划买入价做保守验证。,否
