因子值,数量,成功数,达到1数量,达到2数量,止损数量,平均最高涨幅,平均收盘涨幅,触达低吸数量,成功率,达到1%率,达到2%率,止损率,触达低吸率,因子类型
A,1,1,1,1,1,9.27,-0.92,1,100.0,100.0,100.0,100.0,100.0,隔夜建议等级
C,2,1,2,2,1,3.23,0.14,1,50.0,100.0,100.0,50.0,50.0,隔夜建议等级
D,17,1,17,16,2,7.42,3.75,3,5.88,100.0,94.12,11.76,17.65,隔夜建议等级
持仓,5,1,4,3,2,2.86,0.0,1,20.0,80.0,60.0,40.0,20.0,隔夜建议等级
固定持仓,5,1,4,3,2,2.86,0.0,1,20.0,80.0,60.0,40.0,20.0,分时结构标签
弱势收盘型,3,0,3,2,1,5.15,1.85,1,0.0,100.0,66.67,33.33,33.33,分时结构标签
急跌修复失败型,14,1,14,14,1,7.91,4.16,2,7.14,100.0,100.0,7.14,14.29,分时结构标签
急跌修复成功型,1,1,1,1,1,9.27,-0.92,1,100.0,100.0,100.0,100.0,100.0,分时结构标签
普通震荡型,1,0,1,1,0,2.41,0.28,0,0.0,100.0,100.0,0.0,0.0,分时结构标签
高波动震荡型,1,1,1,1,1,4.05,0.0,1,100.0,100.0,100.0,100.0,100.0,分时结构标签
固定持仓,5,1,4,3,2,2.86,0.0,1,20.0,80.0,60.0,40.0,20.0,尾盘抢筹标签
尾盘抢筹,1,1,1,1,1,9.27,-0.92,1,100.0,100.0,100.0,100.0,100.0,尾盘抢筹标签
尾盘无承接,16,1,16,15,1,7.69,4.11,2,6.25,100.0,93.75,6.25,12.5,尾盘抢筹标签
尾盘普通,3,1,3,3,2,3.19,-0.57,2,33.33,100.0,100.0,66.67,66.67,尾盘抢筹标签
