验证日期,股票代码,股票名称,固定持仓,置顶原因,行情刷新状态,数据状态,分时结构标签,尾盘抢筹标签,隔夜建议等级,候选评分,尾盘评分,最终评分,买入参考价,计划低吸下限,计划低吸上限,计划验证买入价,计划止损价,次日日期,次日开盘,次日最高,次日最低,次日收盘,次日开盘涨幅,次日最高涨幅,次日最低涨幅,次日收盘涨幅,是否达到1%,是否达到2%,是否触发-2%止损,是否触达低吸区间,触达后是否达到1%,触达后是否达到2%,触达后是否触发-2%止损,执行验证结果,分时确认状态,分时首事件,分时首事件时间,时序判断,是否验证成功
2026-07-24,002192,融捷股份,是,固定持仓每日跟踪,日线已刷新,ready,固定持仓,固定持仓,持仓,0.0,0.0,0.0,61.41,60.18,60.8,60.8,59.58,2026-07-24,62.86,64.27,61.38,61.41,2.36,4.66,-0.05,0.0,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
2026-07-24,002213,大为股份,是,固定持仓每日跟踪,日线已刷新,ready,固定持仓,固定持仓,持仓,0.0,0.0,0.0,26.93,26.39,26.66,26.66,26.13,2026-07-24,27.16,27.98,26.82,26.93,0.85,3.9,-0.41,0.0,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
2026-07-24,000933,神火股份,是,固定持仓每日跟踪,日线已刷新,ready,固定持仓,固定持仓,持仓,0.0,0.0,0.0,24.98,24.48,24.73,24.73,24.24,2026-07-24,25.8,25.96,24.96,24.98,3.28,3.92,-0.08,0.0,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
2026-07-24,002466,天齐锂业,是,固定持仓每日跟踪,日线已刷新,ready,固定持仓,固定持仓,持仓,0.0,0.0,0.0,46.38,45.45,45.92,45.92,45.0,2026-07-23,44.49,46.99,44.08,46.38,-4.08,1.32,-4.96,0.0,是,否,是,是,是,否,否,给买点且成功,分时已确认,hit_1pct,2026-07-23 14:55,先触达买点 2026-07-23 13:47，首事件 2026-07-23 14:55 为止盈。,是
2026-07-24,600096,云天化,是,固定持仓每日跟踪,日线已刷新,ready,固定持仓,固定持仓,持仓,0.0,0.0,0.0,30.25,29.64,29.95,29.95,29.35,2026-07-23,29.21,30.4,29.02,30.25,-3.44,0.5,-4.07,0.0,否,否,是,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
2026-07-24,603308,应流股份,否,,日线已刷新,ready,弱势收盘型,尾盘无承接,D,100.0,0.0,40.0,44.1,43.22,43.66,43.66,42.79,2026-07-23,46.94,47.91,44.76,45.31,6.44,8.64,1.5,2.74,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
2026-07-24,002407,多氟多,否,,日线已刷新,ready,弱势收盘型,尾盘无承接,D,93.0,0.0,37.2,30.52,29.91,30.21,30.21,29.61,2026-07-23,29.79,30.99,29.55,30.48,-2.39,1.54,-3.18,-0.13,是,否,是,是,否,否,否,给买点但失败,分时已确认,no_event,,先触达买点 2026-07-23 14:20，之后未触发目标或止损。,否
2026-07-24,000063,中兴通讯,否,,日线已刷新,ready,急跌修复失败型,尾盘无承接,D,93.0,0.0,37.2,35.0,34.3,34.65,34.65,33.96,2026-07-23,37.01,37.55,35.81,35.92,5.74,7.29,2.31,2.63,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
2026-07-24,300759,康龙化成,否,,日线已刷新,ready,急跌修复失败型,尾盘无承接,D,95.0,0.0,38.0,38.53,37.76,38.14,38.14,37.38,2026-07-23,39.27,40.05,38.07,39.0,1.92,3.94,-1.19,1.22,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
2026-07-24,002149,西部材料,否,,日线已刷新,ready,弱势收盘型,尾盘无承接,D,98.0,0.0,39.2,32.13,31.49,31.81,31.81,31.17,2026-07-23,32.16,33.82,31.78,33.07,0.09,5.26,-1.09,2.93,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
