股票代码,股票名称,确认日期,日线评分,风险扣分,候选评分,风险等级,所属板块,板块映射来源,板块涨跌幅,主力净流入,主力净流入占比,板块当日资金排名,板块近5日排名,板块近5日平均涨幅,板块广度,龙头涨幅,板块数据状态,隔夜建议,昨收,今日开盘,上午最高,上午最低,午盘价,今日最高,今日最低,下午最高,下午最低,收盘价,今日成交额,尾盘成交额,尾盘放量倍数,今日涨跌幅,今日振幅,收盘位置,从低点修复幅度,从高点回落幅度,下午修复强度,是否突破上午高点,是否收在全天高位区,分时结构标签,尾盘抢筹标签,尾盘评分,最终评分,隔夜建议等级,隔夜建议说明
002536,飞龙股份,2026-08-25,95.0,0.0,95.0,中,汽车,output/sector_cache.csv,0.72,-378144032.0,-2.05,461,143,-3.82,0.0,0.0,谨慎,涨但资金未跟，谨慎,46.97,48.48,50.6,47.0,49.66,50.6,47.0,50.6,47.0,49.66,2314657680.97,0.0,0.0,5.73,7.66,0.7389,5.66,1.86,5.66,否,否,普通震荡型,尾盘普通,45.0,65.0,B,可观察。结构【普通震荡型】，最终评分65.00，只低吸不追高。
300602,飞荣达,2026-08-25,88.0,0.0,88.0,低,消费电子,output/sector_cache.csv,-0.07,-1555824848.0,-7.75,492,36,0.56,0.0,0.0,回避,资金未去，避免隔夜,41.57,43.1,44.06,41.65,43.22,44.06,41.65,44.06,41.65,43.22,768527732.66,0.0,0.0,3.97,5.8,0.6515,3.77,1.91,3.77,否,否,强势横盘型,尾盘普通,45.0,62.2,C,只观察。结构【强势横盘型】，最终评分62.20，不主动隔夜。
001267,汇绿生态,2026-08-25,88.0,0.0,88.0,低,通信,output/sector_cache.csv,0.89,-1166717440.0,-2.88,488,42,0.12,0.0,0.0,谨慎,涨但资金未跟，谨慎,37.47,37.91,38.41,36.5,37.51,38.41,36.5,38.41,36.5,37.51,805910986.21,0.0,0.0,0.11,5.1,0.5288,2.77,2.34,2.77,否,否,高波动震荡型,尾盘普通,35.0,56.2,C,只观察。结构【高波动震荡型】，最终评分56.20，不主动隔夜。
688598,金博股份,2026-08-25,98.0,0.0,98.0,中,光伏设备,output/sector_cache.csv,1.06,-1845552.0,-0.03,184,82,-2.22,0.0,0.0,谨慎,涨但资金未跟，谨慎,39.85,36.03,36.79,35.03,36.03,36.79,35.03,36.79,35.03,36.03,346988175.56,0.0,0.0,-9.59,4.42,0.5682,2.85,2.07,2.85,否,否,普通震荡型,尾盘普通,25.0,54.2,C,只观察。结构【普通震荡型】，最终评分54.20，不主动隔夜。
300709,精研科技,2026-08-25,78.0,0.0,78.0,低,消费电子,output/sector_cache.csv,-0.07,-1555824848.0,-7.75,492,36,0.56,0.0,0.0,回避,资金未去，避免隔夜,40.76,38.84,39.92,38.2,39.54,39.92,38.2,39.92,38.2,39.54,245058849.6,0.0,0.0,-2.99,4.22,0.7791,3.51,0.95,3.51,否,是,急跌修复成功型,尾盘普通,35.0,52.2,C,只观察。结构【急跌修复成功型】，最终评分52.20，不主动隔夜。
300676,华大基因,2026-08-25,100.0,0.0,100.0,中,诊断服务,output/sector_cache.csv,-0.93,-43686376.0,-12.37,352,47,-0.54,0.0,0.0,回避,资金未去，避免隔夜,42.2,41.51,42.2,40.39,40.67,42.2,40.39,42.2,40.39,40.67,333327444.78,0.0,0.0,-3.63,4.29,0.1547,0.69,3.63,0.69,否,否,急跌修复失败型,尾盘无承接,0.0,40.0,D,放弃。结构【急跌修复失败型】，最终评分40.00。
600367,红星发展,2026-08-25,98.0,0.0,98.0,中,无机盐,output/sector_cache.csv,-0.06,-23772107.0,-2.93,311,186,-5.37,0.0,0.0,回避,资金未去，避免隔夜,34.68,38.15,40.38,36.36,37.52,40.38,36.36,40.38,36.36,37.52,2430198446.05,0.0,0.0,8.19,11.59,0.2886,3.19,7.08,3.19,否,否,弱势收盘型,尾盘无承接,0.0,39.2,D,放弃。结构【弱势收盘型】，最终评分39.20。
600460,士兰微,2026-08-25,95.0,0.0,95.0,低,分立器件,output/sector_cache.csv,-1.25,-15790416.0,-0.3,286,25,1.95,0.0,0.0,回避,资金未去，避免隔夜,35.89,34.18,34.94,33.05,33.8,34.94,33.05,34.94,33.05,33.8,4100146526.54,0.0,0.0,-5.82,5.27,0.3968,2.27,3.26,2.27,否,否,急跌修复失败型,尾盘无承接,0.0,38.0,D,放弃。结构【急跌修复失败型】，最终评分38.00。
600353,旭光电子,2026-08-25,93.0,0.0,93.0,中,其他电子Ⅲ,output/sector_cache.csv,-0.46,-216428080.0,-4.62,441,6,4.81,0.0,0.0,回避,资金未去，避免隔夜,38.28,35.46,36.95,34.9,35.32,36.95,34.9,36.95,34.9,35.32,1632627416.3,0.0,0.0,-7.73,5.36,0.2049,1.2,4.41,1.2,否,否,急跌修复失败型,尾盘无承接,0.0,37.2,D,放弃。结构【急跌修复失败型】，最终评分37.20。
688432,有研硅,2026-08-25,93.0,0.0,93.0,中,半导体,output/sector_cache.csv,-2.3,-6850149632.0,-6.59,495,28,1.44,0.0,0.0,回避,资金未去，避免隔夜,44.2,46.07,46.93,43.92,44.14,46.93,43.92,46.93,43.92,44.14,1622805702.79,0.0,0.0,-0.14,6.81,0.0731,0.5,5.95,0.5,否,否,弱势收盘型,尾盘无承接,0.0,37.2,D,放弃。结构【弱势收盘型】，最终评分37.20。
