prediction_id,sample_id,stock_code,stock_name,predict_date,model_version,hit_1pct_probability,hit_2pct_probability,stop_2pct_probability,risk_adjusted_1pct,risk_adjusted_2pct,probability_risk_reward,final_probability_signal,rule_version,market_regime,sector_name,created_at,calibrated_hit_1pct_probability,calibrated_hit_2pct_probability,calibrated_stop_2pct_probability,calibrated_risk_adjusted_1pct,calibrated_risk_adjusted_2pct,calibration_model_version,calibrated_at
v2.7-profit-probability-001_000063_2026-07-24_v2.0,000063_2026-07-24_v2.0,000063,中兴通讯,2026-07-24,v2.7-profit-probability-001,0.588235,0.470588,0.235294,0.352941,0.235294,2.25,偏多,v2.0,情绪冰点,通信,2026-07-24 22:36:19,0.5,0.5,0.5,0.0,0.0,v2.8-calibration-explain-001,2026-08-25 10:41:09
v2.7-profit-probability-001_000628_2026-07-24_v2.0,000628_2026-07-24_v2.0,000628,高新发展,2026-07-24,v2.7-profit-probability-001,0.588235,0.470588,0.235294,0.352941,0.235294,2.25,偏多,v2.0,情绪冰点,房屋建设Ⅱ,2026-07-24 22:36:19,0.5,0.5,0.5,0.0,0.0,v2.8-calibration-explain-001,2026-08-25 10:41:09
v2.7-profit-probability-001_000811_2026-07-24_v2.0,000811_2026-07-24_v2.0,000811,冰轮环境,2026-07-24,v2.7-profit-probability-001,0.588235,0.470588,0.235294,0.352941,0.235294,2.25,偏多,v2.0,情绪冰点,通用设备,2026-07-24 22:36:19,0.5,0.5,0.5,0.0,0.0,v2.8-calibration-explain-001,2026-08-25 10:41:09
v2.7-profit-probability-001_000831_2026-07-24_v2.0,000831_2026-07-24_v2.0,000831,中国稀土,2026-07-24,v2.7-profit-probability-001,0.588235,0.470588,0.235294,0.352941,0.235294,2.25,偏多,v2.0,情绪冰点,稀土,2026-07-24 22:36:19,0.5,0.5,0.5,0.0,0.0,v2.8-calibration-explain-001,2026-08-25 10:41:09
v2.7-profit-probability-001_000933_2026-07-24_v2.0,000933_2026-07-24_v2.0,000933,神火股份,2026-07-24,v2.7-profit-probability-001,0.588235,0.470588,0.235294,0.352941,0.235294,2.25,偏多,v2.0,情绪冰点,,2026-07-24 22:36:19,0.5,0.5,0.5,0.0,0.0,v2.8-calibration-explain-001,2026-08-25 10:41:09
v2.7-profit-probability-001_000960_2026-07-24_v2.0,000960_2026-07-24_v2.0,000960,锡业股份,2026-07-24,v2.7-profit-probability-001,0.588235,0.470588,0.235294,0.352941,0.235294,2.25,偏多,v2.0,情绪冰点,,2026-07-24 22:36:19,0.5,0.5,0.5,0.0,0.0,v2.8-calibration-explain-001,2026-08-25 10:41:09
v2.7-profit-probability-001_002138_2026-07-24_v2.0,002138_2026-07-24_v2.0,002138,顺络电子,2026-07-24,v2.7-profit-probability-001,0.588235,0.470588,0.235294,0.352941,0.235294,2.25,偏多,v2.0,情绪冰点,被动元件,2026-07-24 22:36:19,0.5,0.5,0.5,0.0,0.0,v2.8-calibration-explain-001,2026-08-25 10:41:09
v2.7-profit-probability-001_002149_2026-07-24_v2.0,002149_2026-07-24_v2.0,002149,西部材料,2026-07-24,v2.7-profit-probability-001,0.588235,0.470588,0.235294,0.352941,0.235294,2.25,偏多,v2.0,情绪冰点,,2026-07-24 22:36:19,0.5,0.5,0.5,0.0,0.0,v2.8-calibration-explain-001,2026-08-25 10:41:09
v2.7-profit-probability-001_002192_2026-07-24_v2.0,002192_2026-07-24_v2.0,002192,融捷股份,2026-07-24,v2.7-profit-probability-001,0.588235,0.470588,0.235294,0.352941,0.235294,2.25,偏多,v2.0,情绪冰点,,2026-07-24 22:36:19,0.5,0.5,0.5,0.0,0.0,v2.8-calibration-explain-001,2026-08-25 10:41:09
v2.7-profit-probability-001_002213_2026-07-24_v2.0,002213_2026-07-24_v2.0,002213,大为股份,2026-07-24,v2.7-profit-probability-001,0.588235,0.470588,0.235294,0.352941,0.235294,2.25,偏多,v2.0,情绪冰点,,2026-07-24 22:36:19,0.5,0.5,0.5,0.0,0.0,v2.8-calibration-explain-001,2026-08-25 10:41:09
v2.7-profit-probability-001_002407_2026-07-24_v2.0,002407_2026-07-24_v2.0,002407,多氟多,2026-07-24,v2.7-profit-probability-001,0.588235,0.470588,0.235294,0.352941,0.235294,2.25,偏多,v2.0,情绪冰点,氟化工,2026-07-24 22:36:19,0.5,0.5,0.5,0.0,0.0,v2.8-calibration-explain-001,2026-08-25 10:41:09
v2.7-profit-probability-001_002466_2026-07-24_v2.0,002466_2026-07-24_v2.0,002466,天齐锂业,2026-07-24,v2.7-profit-probability-001,0.588235,0.470588,0.235294,0.352941,0.235294,2.25,偏多,v2.0,情绪冰点,,2026-07-24 22:36:19,0.5,0.5,0.5,0.0,0.0,v2.8-calibration-explain-001,2026-08-25 10:41:09
v2.7-profit-probability-001_002536_2026-07-24_v2.0,002536_2026-07-24_v2.0,002536,飞龙股份,2026-07-24,v2.7-profit-probability-001,0.588235,0.470588,0.235294,0.352941,0.235294,2.25,偏多,v2.0,情绪冰点,汽车,2026-07-24 22:36:19,0.5,0.5,0.5,0.0,0.0,v2.8-calibration-explain-001,2026-08-25 10:41:09
v2.7-profit-probability-001_002990_2026-07-24_v2.0,002990_2026-07-24_v2.0,002990,盛视科技,2026-07-24,v2.7-profit-probability-001,0.588235,0.470588,0.235294,0.352941,0.235294,2.25,偏多,v2.0,情绪冰点,其他计算机设备,2026-07-24 22:36:19,0.5,0.5,0.5,0.0,0.0,v2.8-calibration-explain-001,2026-08-25 10:41:09
v2.7-profit-probability-001_300316_2026-07-24_v2.0,300316_2026-07-24_v2.0,300316,晶盛机电,2026-07-24,v2.7-profit-probability-001,0.588235,0.470588,0.235294,0.352941,0.235294,2.25,偏多,v2.0,情绪冰点,光伏加工设备,2026-07-24 22:36:19,0.5,0.5,0.5,0.0,0.0,v2.8-calibration-explain-001,2026-08-25 10:41:09
v2.7-profit-probability-001_300433_2026-07-24_v2.0,300433_2026-07-24_v2.0,300433,蓝思科技,2026-07-24,v2.7-profit-probability-001,0.588235,0.470588,0.235294,0.352941,0.235294,2.25,偏多,v2.0,情绪冰点,消费电子,2026-07-24 22:36:19,0.5,0.5,0.5,0.0,0.0,v2.8-calibration-explain-001,2026-08-25 10:41:09
v2.7-profit-probability-001_300657_2026-07-24_v2.0,300657_2026-07-24_v2.0,300657,弘信电子,2026-07-24,v2.7-profit-probability-001,0.588235,0.470588,0.235294,0.352941,0.235294,2.25,偏多,v2.0,情绪冰点,印制电路板,2026-07-24 22:36:19,0.5,0.5,0.5,0.0,0.0,v2.8-calibration-explain-001,2026-08-25 10:41:09
v2.7-profit-probability-001_300759_2026-07-24_v2.0,300759_2026-07-24_v2.0,300759,康龙化成,2026-07-24,v2.7-profit-probability-001,0.588235,0.470588,0.235294,0.352941,0.235294,2.25,偏多,v2.0,情绪冰点,医疗服务,2026-07-24 22:36:19,0.5,0.5,0.5,0.0,0.0,v2.8-calibration-explain-001,2026-08-25 10:41:09
v2.7-profit-probability-001_600096_2026-07-24_v2.0,600096_2026-07-24_v2.0,600096,云天化,2026-07-24,v2.7-profit-probability-001,0.588235,0.470588,0.235294,0.352941,0.235294,2.25,偏多,v2.0,情绪冰点,,2026-07-24 22:36:19,0.5,0.5,0.5,0.0,0.0,v2.8-calibration-explain-001,2026-08-25 10:41:09
v2.7-profit-probability-001_600536_2026-07-24_v2.0,600536_2026-07-24_v2.0,600536,中国软件,2026-07-24,v2.7-profit-probability-001,0.588235,0.470588,0.235294,0.352941,0.235294,2.25,偏多,v2.0,情绪冰点,IT服务Ⅲ,2026-07-24 22:36:19,0.5,0.5,0.5,0.0,0.0,v2.8-calibration-explain-001,2026-08-25 10:41:09
