decision_id,stock_code,stock_name,is_fixed_holding,predict_date,rule_version,rule_grade,rule_score,next_day_up_probability,direction_confidence,hit_1pct_probability,hit_2pct_probability,stop_2pct_probability,sector_name,sector_status,market_regime,model_quality_score,fusion_score,risk_reward_ratio,created_at,model_version,final_action,decision_reason
v3.0-decision-fusion-001_000725_,000725,京东方A,True,nan,nan,未评级,0.0,0.5,0.0,0.5,0.5,0.5,nan,未知,nan,0.5,46.5,1.50,2026-09-02 09:27:33,v3.0-decision-fusion-001,继续持有,继续持有：暂未触发卖点。
v3.0-decision-fusion-001_603799_,603799,华友钴业,True,nan,nan,未评级,0.0,0.5,0.0,0.5,0.5,0.5,nan,未知,nan,0.5,46.5,1.50,2026-09-02 09:27:33,v3.0-decision-fusion-001,继续持有,继续持有：暂未触发卖点。
v3.0-decision-fusion-001_300623_,300623,捷捷微电,True,nan,nan,未评级,0.0,0.5,0.0,0.5,0.5,0.5,nan,未知,nan,0.5,46.5,1.50,2026-09-02 09:27:33,v3.0-decision-fusion-001,继续持有,继续持有：暂未触发卖点。
v3.0-decision-fusion-001_002213_2026-08-25,002213,大为股份,True,2026-08-25,v2.0,未评级,0.0,0.48,0.04,0.5,0.5,0.5,nan,未知,偏弱,0.5,45.09,1.50,2026-09-02 09:27:33,v3.0-decision-fusion-001,减仓,减仓：风险升高，先降仓位。
v3.0-decision-fusion-001_000063_2026-07-24,000063,中兴通讯,False,2026-07-24,nan,未评级,0.0,0.5,0.0,0.5,0.5,0.5,通信,未知,nan,0.5,46.5,1.50,2026-09-02 09:27:33,v3.0-decision-fusion-001,只观察,只观察：条件不够，先不买。
v3.0-decision-fusion-001_000628_2026-07-24,000628,高新发展,False,2026-07-24,nan,未评级,0.0,0.5,0.0,0.5,0.5,0.5,房屋建设Ⅱ,未知,nan,0.5,46.5,1.50,2026-09-02 09:27:33,v3.0-decision-fusion-001,只观察,只观察：条件不够，先不买。
v3.0-decision-fusion-001_000811_2026-07-24,000811,冰轮环境,False,2026-07-24,nan,未评级,0.0,0.5,0.0,0.5,0.5,0.5,通用设备,未知,nan,0.5,46.5,1.50,2026-09-02 09:27:33,v3.0-decision-fusion-001,只观察,只观察：条件不够，先不买。
v3.0-decision-fusion-001_000831_2026-07-24,000831,中国稀土,False,2026-07-24,nan,未评级,0.0,0.5,0.0,0.5,0.5,0.5,稀土,未知,nan,0.5,46.5,1.50,2026-09-02 09:27:33,v3.0-decision-fusion-001,只观察,只观察：条件不够，先不买。
v3.0-decision-fusion-001_000960_2026-07-24,000960,锡业股份,False,2026-07-24,nan,未评级,0.0,0.5,0.0,0.5,0.5,0.5,nan,未知,nan,0.5,46.5,1.50,2026-09-02 09:27:33,v3.0-decision-fusion-001,只观察,只观察：条件不够，先不买。
v3.0-decision-fusion-001_002138_2026-07-24,002138,顺络电子,False,2026-07-24,nan,未评级,0.0,0.5,0.0,0.5,0.5,0.5,被动元件,未知,nan,0.5,46.5,1.50,2026-09-02 09:27:33,v3.0-decision-fusion-001,只观察,只观察：条件不够，先不买。
v3.0-decision-fusion-001_002149_2026-07-24,002149,西部材料,False,2026-07-24,nan,未评级,0.0,0.5,0.0,0.5,0.5,0.5,nan,未知,nan,0.5,46.5,1.50,2026-09-02 09:27:33,v3.0-decision-fusion-001,只观察,只观察：条件不够，先不买。
v3.0-decision-fusion-001_002407_2026-07-24,002407,多氟多,False,2026-07-24,nan,未评级,0.0,0.5,0.0,0.5,0.5,0.5,氟化工,未知,nan,0.5,46.5,1.50,2026-09-02 09:27:33,v3.0-decision-fusion-001,只观察,只观察：条件不够，先不买。
v3.0-decision-fusion-001_002990_2026-07-24,002990,盛视科技,False,2026-07-24,nan,未评级,0.0,0.5,0.0,0.5,0.5,0.5,其他计算机设备,未知,nan,0.5,46.5,1.50,2026-09-02 09:27:33,v3.0-decision-fusion-001,只观察,只观察：条件不够，先不买。
v3.0-decision-fusion-001_300316_2026-07-24,300316,晶盛机电,False,2026-07-24,nan,未评级,0.0,0.5,0.0,0.5,0.5,0.5,光伏加工设备,未知,nan,0.5,46.5,1.50,2026-09-02 09:27:33,v3.0-decision-fusion-001,只观察,只观察：条件不够，先不买。
v3.0-decision-fusion-001_300433_2026-07-24,300433,蓝思科技,False,2026-07-24,nan,未评级,0.0,0.5,0.0,0.5,0.5,0.5,消费电子,未知,nan,0.5,46.5,1.50,2026-09-02 09:27:33,v3.0-decision-fusion-001,只观察,只观察：条件不够，先不买。
v3.0-decision-fusion-001_300759_2026-07-24,300759,康龙化成,False,2026-07-24,nan,未评级,0.0,0.5,0.0,0.5,0.5,0.5,医疗服务,未知,nan,0.5,46.5,1.50,2026-09-02 09:27:33,v3.0-decision-fusion-001,只观察,只观察：条件不够，先不买。
v3.0-decision-fusion-001_600536_2026-07-24,600536,中国软件,False,2026-07-24,nan,未评级,0.0,0.5,0.0,0.5,0.5,0.5,IT服务Ⅲ,未知,nan,0.5,46.5,1.50,2026-09-02 09:27:33,v3.0-decision-fusion-001,只观察,只观察：条件不够，先不买。
v3.0-decision-fusion-001_601126_2026-07-24,601126,四方股份,False,2026-07-24,nan,未评级,0.0,0.5,0.0,0.5,0.5,0.5,电网自动化设备,未知,nan,0.5,46.5,1.50,2026-09-02 09:27:33,v3.0-decision-fusion-001,只观察,只观察：条件不够，先不买。
