explanation_id,sample_id,stock_code,stock_name,predict_date,model_version,source_model_version,top_positive_factors,top_negative_factors,explanation_method,created_at
v2.8-calibration-explain-001_000893_2026-07-19_v2.0,000893_2026-07-19_v2.0,000893,亚钾国际,2026-07-19,v2.8-calibration-explain-001,v2.7-profit-probability-001,样本不足或基准模型：暂无稳定正贡献因子,样本不足或基准模型：暂无稳定负贡献因子,baseline_summary,2026-07-19 20:00:50
v2.8-calibration-explain-001_000933_2026-07-19_v2.0,000933_2026-07-19_v2.0,000933,神火股份,2026-07-19,v2.8-calibration-explain-001,v2.7-profit-probability-001,样本不足或基准模型：暂无稳定正贡献因子,样本不足或基准模型：暂无稳定负贡献因子,baseline_summary,2026-07-19 20:00:50
v2.8-calibration-explain-001_002192_2026-07-19_v2.0,002192_2026-07-19_v2.0,002192,融捷股份,2026-07-19,v2.8-calibration-explain-001,v2.7-profit-probability-001,样本不足或基准模型：暂无稳定正贡献因子,样本不足或基准模型：暂无稳定负贡献因子,baseline_summary,2026-07-19 20:00:50
v2.8-calibration-explain-001_002213_2026-07-19_v2.0,002213_2026-07-19_v2.0,002213,大为股份,2026-07-19,v2.8-calibration-explain-001,v2.7-profit-probability-001,样本不足或基准模型：暂无稳定正贡献因子,样本不足或基准模型：暂无稳定负贡献因子,baseline_summary,2026-07-19 20:00:50
v2.8-calibration-explain-001_002311_2026-07-19_v2.0,002311_2026-07-19_v2.0,002311,海大集团,2026-07-19,v2.8-calibration-explain-001,v2.7-profit-probability-001,样本不足或基准模型：暂无稳定正贡献因子,样本不足或基准模型：暂无稳定负贡献因子,baseline_summary,2026-07-19 20:00:50
v2.8-calibration-explain-001_002466_2026-07-19_v2.0,002466_2026-07-19_v2.0,002466,天齐锂业,2026-07-19,v2.8-calibration-explain-001,v2.7-profit-probability-001,样本不足或基准模型：暂无稳定正贡献因子,样本不足或基准模型：暂无稳定负贡献因子,baseline_summary,2026-07-19 20:00:50
v2.8-calibration-explain-001_002714_2026-07-19_v2.0,002714_2026-07-19_v2.0,002714,牧原股份,2026-07-19,v2.8-calibration-explain-001,v2.7-profit-probability-001,样本不足或基准模型：暂无稳定正贡献因子,样本不足或基准模型：暂无稳定负贡献因子,baseline_summary,2026-07-19 20:00:50
v2.8-calibration-explain-001_002881_2026-07-19_v2.0,002881_2026-07-19_v2.0,002881,美格智能,2026-07-19,v2.8-calibration-explain-001,v2.7-profit-probability-001,样本不足或基准模型：暂无稳定正贡献因子,样本不足或基准模型：暂无稳定负贡献因子,baseline_summary,2026-07-19 20:00:50
v2.8-calibration-explain-001_300085_2026-07-19_v2.0,300085_2026-07-19_v2.0,300085,银之杰,2026-07-19,v2.8-calibration-explain-001,v2.7-profit-probability-001,样本不足或基准模型：暂无稳定正贡献因子,样本不足或基准模型：暂无稳定负贡献因子,baseline_summary,2026-07-19 20:00:50
v2.8-calibration-explain-001_300628_2026-07-19_v2.0,300628_2026-07-19_v2.0,300628,亿联网络,2026-07-19,v2.8-calibration-explain-001,v2.7-profit-probability-001,样本不足或基准模型：暂无稳定正贡献因子,样本不足或基准模型：暂无稳定负贡献因子,baseline_summary,2026-07-19 20:00:50
