股票代码,股票名称,所属市场,所属板块,板块映射来源,板块涨跌幅,主力净流入,主力净流入占比,板块当日资金排名,板块近5日排名,板块近5日平均涨幅,板块广度,龙头涨幅,板块数据状态,隔夜建议,最新收盘价,MA5,距MA5偏离率,可买股数,预计占用资金,最近5日振幅,最近5日涨幅,最近5日平均成交额,日线评分,风险扣分,候选评分,综合评分,风险等级,策略类型,买入优先级,操作建议
600096,云天化,沪市主板,农化制品,output/sector_cache.csv,-0.17,-177511734.0,-5.09,432.0,76.0,-1.24,0.0,0.0,回避,资金未去，避免隔夜,31.96,31.23,2.33,900,28764.0,10.4,5.72,1518670985.64,100.0,0.0,100.0,100.0,低,隔日T,A,主观察，低吸区间 30.92-31.54，不追高。
601168,西部矿业,沪市主板,铜,output/sector_cache.csv,-0.31,-466952240.0,-8.17,465.0,19.0,3.18,0.0,0.0,回避,资金未去，避免隔夜,39.96,39.28,1.73,700,27972.0,12.58,1.78,2451186724.67,100.0,0.0,100.0,100.0,低,隔日T,A,主观察，低吸区间 38.89-39.67，不追高。
300607,拓斯达,创业板,自动化设备,output/sector_cache.csv,1.06,118287872.0,0.94,21.0,38.0,0.88,0.0,0.0,未知,优先观察,36.01,35.82,0.53,800,28808.0,13.48,0.31,1480549289.17,100.0,0.0,100.0,100.0,低,隔日T,A,主观察，低吸区间 35.46-36.18，不追高。
301171,易点天下,创业板,营销代理,output/sector_cache.csv,0.73,-884214880.0,-7.12,480.0,167.0,-4.06,0.0,0.0,谨慎,涨但资金未跟，谨慎,36.77,35.91,2.38,800,29416.0,16.34,7.36,2777115430.62,100.0,0.0,100.0,100.0,低,隔日T,A,主观察，低吸区间 35.55-36.27，不追高。
600176,中国巨石,沪市主板,玻纤制造,output/sector_cache.csv,-4.26,-1078911792.0,-11.79,485.0,4.0,9.0,0.0,0.0,回避,资金未去，避免隔夜,43.02,42.46,1.32,600,25812.0,18.96,8.91,9136708424.53,95.0,0.0,95.0,95.0,低,隔日T,A,主观察，低吸区间 42.03-42.88，不追高。
600547,山东黄金,沪市主板,黄金,output/sector_cache.csv,-2.36,-356508176.0,-8.38,460.0,23.0,2.21,0.0,0.0,回避,资金未去，避免隔夜,36.89,35.92,2.69,800,29512.0,14.43,6.96,4257086492.28,95.0,0.0,95.0,95.0,低,隔日T,A,主观察，低吸区间 35.56-36.28，不追高。
603039,泛微网络,沪市主板,横向通用软件,output/sector_cache.csv,1.03,189621248.0,1.67,8.0,41.0,0.69,0.0,0.0,未知,优先观察,41.61,40.63,2.42,700,29127.0,10.23,5.5,906953733.38,90.0,0.0,90.0,90.0,低,隔日T,A,主观察，低吸区间 40.22-41.03，不追高。
603179,新泉股份,沪市主板,汽车电子电气系统,output/sector_cache.csv,0.84,-25470489.0,-1.31,314.0,126.0,-2.63,0.0,0.0,谨慎,涨但资金未跟，谨慎,39.4,39.16,0.62,700,27580.0,10.02,5.01,772881876.99,90.0,0.0,90.0,90.0,低,隔日T,A,主观察，低吸区间 38.76-39.55，不追高。
603308,应流股份,沪市主板,通用设备,output/sector_cache.csv,1.11,-328536128.0,-1.63,452.0,97.0,-1.99,0.0,0.0,谨慎,涨但资金未跟，谨慎,45.2,44.49,1.59,600,27120.0,13.28,2.84,915482200.46,90.0,0.0,90.0,90.0,低,隔日T,A,主观察，低吸区间 44.05-44.94，不追高。
000893,亚钾国际,深市主板,农化制品,output/sector_cache.csv,-0.17,-177511734.0,-5.09,432.0,76.0,-1.24,0.0,0.0,回避,资金未去，避免隔夜,48.56,48.37,0.39,600,29136.0,11.19,0.56,836520049.04,90.0,0.0,90.0,90.0,低,隔日T,A,主观察，低吸区间 47.89-48.85，不追高。
300085,银之杰,创业板,软件开发,output/sector_cache.csv,0.32,-241486848.0,-1.06,443.0,88.0,-1.54,0.0,0.0,谨慎,涨但资金未跟，谨慎,32.84,31.73,3.51,900,29556.0,19.13,9.07,2232666358.21,90.0,0.0,90.0,90.0,低,趋势观察,A,主观察，低吸区间 31.41-32.04，不追高。
300602,飞荣达,创业板,消费电子,output/sector_cache.csv,-0.07,-1555824848.0,-7.75,492.0,31.0,1.33,0.0,0.0,回避,资金未去，避免隔夜,46.09,44.51,3.54,600,27654.0,11.71,6.62,1689425844.24,90.0,0.0,90.0,90.0,低,趋势观察,A,主观察，低吸区间 44.07-44.96，不追高。
300657,弘信电子,创业板,印制电路板,output/sector_cache.csv,-1.22,-832815328.0,-4.87,478.0,3.0,9.76,0.0,0.0,回避,资金未去，避免隔夜,35.76,35.36,1.14,800,28608.0,13.23,6.52,878674869.75,90.0,0.0,90.0,90.0,低,隔日T,A,主观察，低吸区间 35.00-35.71，不追高。
