统计周期,交易笔数,盈利笔数,到手利润,平均收益率,胜率,报表类型,股票名称,股票代码,指标,样本数,数值,DS状态
2026-07-27/2026-08-02,11.0,11.0,693.45,1.1045454545454545,100.0,周度交易,,,,,,
2026-08-03/2026-08-09,15.0,15.0,1582.06,2.0006666666666666,100.0,周度交易,,,,,,
2026-08-10/2026-08-16,19.0,19.0,1211.26,0.9952631578947368,100.0,周度交易,,,,,,
2026-08-17/2026-08-23,27.0,27.0,3034.78,2.259259259259259,100.0,周度交易,,,,,,
2026-08-24/2026-08-30,26.0,24.0,2132.3700000000003,1.3165384615384614,92.3076923076923,周度交易,,,,,,
2026-08-31/2026-09-06,17.0,16.0,1215.4099999999999,1.076470588235294,94.11764705882352,周度交易,,,,,,
2026-07,11.0,11.0,693.45,1.1045454545454545,100.0,月度交易,,,,,,
2026-08,88.0,86.0,8157.47,1.6570454545454545,97.72727272727273,月度交易,,,,,,
2026-09,16.0,15.0,1018.41,1.039375,93.75,月度交易,,,,,,
2026H2,115.0,112.0,9869.33,1.5182608695652173,97.3913043478261,半年度交易,,,,,,
2026,115.0,112.0,9869.33,1.5182608695652173,97.3913043478261,年度交易,,,,,,
,38.0,,3392.29,1.418157894736842,,个股交易,大为股份,002213,,,,
,11.0,,1821.92,4.138181818181818,,个股交易,京东方,,,,,
,11.0,,1145.03,1.510909090909091,,个股交易,捷捷微电,300623,,,,
,11.0,,1074.55,1.4463636363636363,,个股交易,华友钴业,603799,,,,
,6.0,,412.76,1.3966666666666667,,个股交易,雅化集团,,,,,
,6.0,,375.05,0.8866666666666667,,个股交易,神火股份,000933,,,,
,6.0,,365.98,1.3333333333333333,,个股交易,天齐锂业,002466,,,,
,7.0,,346.0,0.8785714285714287,,个股交易,云天化,600096,,,,
,5.0,,313.1,1.01,,个股交易,捷捷微电,,,,,
,5.0,,282.15999999999997,0.85,,个股交易,融捷股份,002192,,,,
,6.0,,200.26,0.5783333333333334,,个股交易,华友钴业,,,,,
,3.0,,140.23000000000002,0.68,,个股交易,大唐电信,,,,,
,,,,,,系统验证,,,买点触达率,24.0,45.83,
,,,,,,系统验证,,,目标达到率,24.0,83.33,
,,,,,,系统验证,,,止损触发率,24.0,20.83,
,,,,,,DS分析,,,DS账面结论,,近三月胜率97%，利润9869元，但9月胜率降至94%，单笔收益下滑。,success
,,,,,,DS分析,,,DS问题定位,,捷捷微电、京东方A触发止损，系统验证与实盘不符，低吸区间失效。,success
,,,,,,DS分析,,,DS下次动作,,暂停触发止损个股，按股票分层验证低吸区间，优化入场条件。,success
,,,,,,DS分析,,,DS风险提醒,,警惕胜率虚高，关注止损个股，避免过度交易。,success
