板块名称,板块涨跌幅,主力净流入,主力净流入占比,超大单净流入,大单净流入,资金排名,板块资金标签,隔夜建议
商贸零售,1.18,1046829776.0,12.35,881163664.0,165666112.0,1,资金流入,优先观察
一般零售,2.22,841648448.0,17.55,744779168.0,96869280.0,2,资金流入,优先观察
医药生物,0.35,671011808.0,3.02,289054944.0,381956864.0,3,资金流入,优先观察
非银金融,0.55,581593312.0,5.74,399168896.0,182424416.0,4,资金流入,优先观察
超市,5.14,430975814.0,30.44,400480502.0,30495312.0,5,资金流入,优先观察
百货,3.75,355740945.0,15.72,262829825.0,92911120.0,6,资金流入,优先观察
医疗研发外包,0.75,347400512.0,10.77,276500512.0,70900000.0,7,资金流入,优先观察
通信设备,0.84,326156544.0,0.55,-364098048.0,690254592.0,8,资金流入,优先观察
保险Ⅱ,2.79,319195360.0,10.03,171498112.0,147697248.0,9,资金流入,优先观察
保险Ⅲ,2.79,319195360.0,10.03,171498112.0,147697248.0,10,资金流入,优先观察
医疗服务,0.31,311882016.0,7.16,269761488.0,42120528.0,11,资金流入,优先观察
银行Ⅱ,1.23,311327312.0,4.79,-65932272.0,377259584.0,12,资金流入,优先观察
银行,1.23,311327312.0,4.79,-65932272.0,377259584.0,13,资金流入,优先观察
激光设备,-1.92,310095168.0,5.14,290509456.0,19585712.0,14,资金流入,资金流入但价格弱，谨慎
化学制药,0.34,296779040.0,3.54,69659184.0,227119856.0,15,资金流入,优先观察
证券Ⅱ,0.62,290689408.0,4.87,232138800.0,58550608.0,16,资金流入,优先观察
证券Ⅲ,0.62,290689408.0,4.86,232138800.0,58550608.0,17,资金流入,优先观察
化学制剂,0.44,260312784.0,3.91,51289360.0,209023424.0,18,资金流入,优先观察
游戏Ⅱ,2.63,248928047.0,8.09,83708687.0,165219360.0,19,资金流入,优先观察
游戏Ⅲ,2.63,248928047.0,8.09,83708687.0,165219360.0,20,资金流入,优先观察
稀土,1.96,220160480.0,8.66,208535248.0,11625232.0,21,资金流入,优先观察
旅游零售Ⅲ,3.35,213150192.0,10.93,147299008.0,65851184.0,22,资金流入,优先观察
旅游零售Ⅱ,3.45,209103632.0,10.65,144423712.0,64679920.0,23,资金流入,优先观察
线缆部件及其他,-0.46,208253696.0,3.65,262734688.0,-54480992.0,24,资金流入,资金流入但价格弱，谨慎
股份制银行Ⅲ,1.32,188792192.0,7.31,-80447552.0,269239744.0,25,资金流入,优先观察
基建市政工程,0.47,182513232.0,8.91,112547056.0,69966176.0,26,资金流入,优先观察
通信网络设备及器件,1.35,179891456.0,0.52,-488046848.0,667938304.0,27,资金流入,优先观察
基础建设,0.0,177603552.0,5.48,103234464.0,74369088.0,28,资金流入,优先观察
航运,1.69,176690045.0,10.03,156637757.0,20052288.0,29,资金流入,优先观察
交通运输,0.57,175352208.0,2.89,203359248.0,-28007040.0,30,资金流入,优先观察
食品饮料,0.37,152584880.0,1.88,-44212512.0,196797392.0,31,资金流入,优先观察
冶钢辅料,1.94,145583907.0,25.81,140419398.0,5164509.0,32,资金流入,优先观察
航天装备Ⅱ,1.3,144270016.0,5.2,-282096.0,144552112.0,33,资金流入,优先观察
航天装备Ⅲ,1.3,144270016.0,5.2,-282096.0,144552112.0,34,资金流入,优先观察
