股票代码,股票名称,热点标签,综合评分,所属市场,所属板块,最新收盘价,MA5,可买股数,预计占用资金,最近5日振幅,最近5日涨幅,最近5日平均成交额,昨收,今日开盘,上午最高,上午最低,午盘价,今日最高,今日最低,收盘价,今日成交额
002484,江海股份,未归类,153.37,深市主板,未标记,44.35,43.61,600,26610.0,21.69,9.7,2173794467.51,,,,,,,,,
301171,易点天下,未归类,153.0,创业板,未标记,42.72,41.47,700,29904.0,36.16,19.23,3744023778.38,,,,,,,,,
002580,圣阳股份,未归类,148.0,深市主板,未标记,34.17,32.21,800,27336.0,31.6,14.74,4111290958.39,,,,,,,,,
300085,银之杰,未归类,147.55,创业板,未标记,42.42,41.43,700,29694.0,18.78,7.72,2177772215.41,,,,,,,,,
000960,锡业股份,有色金属,146.63,深市主板,未标记,40.7,40.15,700,28490.0,18.31,5.82,3667709721.41,,,,,,,,,
603881,数据港,AI；算力,145.59,沪市主板,未标记,40.23,40.16,700,28161.0,17.79,4.49,3220818567.05,,,,,,,,,
002902,铭普光磁,未归类,143.7,深市主板,未标记,37.18,35.21,800,29744.0,30.03,16.96,1689970975.68,,,,,,,,,
300900,广联航空,军工；低空经济,140.73,创业板,未标记,47.42,47.04,600,28452.0,15.37,4.43,2027465213.41,,,,,,,,,
300748,金力永磁,未归类,140.66,创业板,未标记,35.73,35.43,800,28584.0,15.5,2.67,1988478088.15,,,,,,,,,
300846,首都在线,未归类,140.49,创业板,未标记,31.41,30.81,900,28269.0,20.69,6.66,1636881301.92,,,,,,,,,
300762,上海瀚讯,未归类,139.95,创业板,未标记,46.5,46.26,600,27900.0,14.98,3.49,2830387148.28,,,,,,,,,
000034,神州数码,未归类,139.54,深市主板,未标记,41.79,41.05,700,29253.0,14.77,5.99,2170504733.23,,,,,,,,,
000062,深圳华强,未归类,138.01,深市主板,未标记,37.39,37.27,800,29912.0,14.01,1.38,3951599398.98,,,,,,,,,
601208,东材科技,软件,137.19,沪市主板,未标记,47.25,45.07,600,28350.0,22.09,15.1,4358415794.92,,,,,,,,,
601168,西部矿业,未归类,137.11,沪市主板,未标记,33.42,32.13,800,26736.0,16.06,8.12,2462239261.92,,,,,,,,,
002273,水晶光电,半导体；消费电子,137.02,深市主板,未标记,37.99,36.03,700,26593.0,22.01,14.46,3178970093.68,,,,,,,,,
