记录ID,记录时间,交易日期,交易类型,股票代码,股票名称,方向,买入价格,卖出价格,数量,买入手续费,卖出手续费,卖出印花税,手续费合计,到手利润,收益率,闭环状态,策略来源,是否按计划执行,备注
20260907100254_002192_隔日T_买入并卖出,2026-09-07 10:02:54,2026-09-07,隔日T,002192,融捷股份,买入并卖出,64.86,65.45,100,5.0,5.0,3.27,13.27,45.73,0.71,已闭环,系统候选,是,
20260907095443_002192_日内T_买入并卖出,2026-09-07 09:54:43,2026-09-07,日内T,002192,融捷股份,买入并卖出,64.68,65.45,100,5.0,5.0,3.27,13.27,63.73,0.99,已闭环,系统候选,是,
20260907094337_002192_日内T_买入并卖出,2026-09-07 09:43:37,2026-09-07,日内T,002192,融捷股份,买入并卖出,64.68,65.3,100,5.0,5.0,3.27,13.27,48.73,0.75,已闭环,系统候选,是,
20260904113008_002213_日内T_买入并卖出,2026-09-04 11:30:08,2026-09-04,日内T,002213,大为股份,买入并卖出,28.69,29.16,100,5.0,5.0,1.46,11.46,35.54,1.24,已闭环,系统候选,是,
20260904102101_300623_隔日T_买入并卖出,2026-09-04 10:21:01,2026-09-04,隔日T,300623,捷捷微电,买入并卖出,29.5,30.1,200,5.0,5.0,3.01,13.01,106.99,1.81,已闭环,系统候选,是,
20260904094534_300623_日内T_买入并卖出,2026-09-04 09:45:34,2026-09-04,日内T,300623,捷捷微电,买入并卖出,29.8,30.04,300,5.0,5.0,4.51,14.51,57.49,0.64,已闭环,系统候选,是,
20260903102928_300623_日内T_买入并卖出,2026-09-03 10:29:28,2026-09-03,日内T,300623,捷捷微电,买入并卖出,29.48,29.3,200,5.0,5.0,2.93,12.93,-48.93,-0.83,已闭环,系统候选,是,
20260903102741_002192_隔日T_买入并卖出,2026-09-03 10:27:41,2026-09-03,日内T,002192,融捷股份,买入并卖出,69.76,70.3,100,5.0,5.0,3.52,13.52,40.48,0.58,已闭环,系统候选,是,
20260903100313_002192_日内T_买入并卖出,2026-09-03 10:03:13,2026-09-03,日内T,002192,融捷股份,买入并卖出,69.94,70.6,100,5.0,5.0,3.53,13.53,52.47,0.75,已闭环,系统候选,是,
20260903095842_300623_隔日T_买入并卖出,2026-09-03 09:58:42,2026-09-03,隔日T,300623,捷捷微电,买入并卖出,29.48,29.65,200,5.0,5.0,2.96,12.96,21.04,0.36,已闭环,系统候选,是,
