股票代码,股票名称,所属市场,所属板块,热点标签,最新收盘价,MA5,可买股数,预计占用资金,最近5日振幅,最近5日涨幅,最近5日平均成交额,综合评分
002655,共达电声,深市主板,未知,未归类,36.37,35.13,800,29096.0,37.95,15.39,2014240036.35,153.0
300762,上海瀚讯,创业板,未知,未归类,48.16,45.65,600,28896.0,29.22,10.92,3106918611.18,151.44
002364,中恒电气,深市主板,未知,未归类,44.73,44.37,600,26838.0,20.33,9.66,2639565476.71,150.67
688005,容百科技,科创板,未知,未归类,38.24,37.75,700,26768.0,19.4,9.79,2013860231.54,148.81
300657,弘信电子,创业板,未知,未归类,38.65,38.29,700,27055.0,18.73,8.08,2126354693.62,147.46
601208,东材科技,沪市主板,未知,未归类,45.8,43.45,600,27480.0,26.54,17.02,4208644835.21,146.08
002436,兴森科技,深市主板,未知,未归类,33.17,30.96,900,29853.0,27.89,19.7,5075128397.04,143.78
301246,宏源药业,创业板,未知,未归类,31.8,31.15,900,28620.0,28.63,6.11,1206875341.75,143.46
000338,潍柴动力,深市主板,未知,未归类,33.53,33.42,800,26824.0,16.36,7.47,4833652975.24,142.72
300364,中文在线,创业板,未知,未归类,31.09,30.77,900,27981.0,16.24,8.03,1993761712.1,142.29
600176,中国巨石,沪市主板,未知,未归类,38.01,37.09,700,26607.0,21.96,10.17,5589973238.73,141.91
300285,国瓷材料,创业板,未知,化工,38.71,37.78,700,27097.0,15.67,8.19,2020380913.0,141.34
002636,金安国纪,深市主板,未知,未归类,48.5,47.48,600,29100.0,15.45,8.02,2363391313.99,140.9
603698,航天工程,沪市主板,未知,低空经济；军工,44.41,44.36,600,26646.0,15.38,1.0,2052299050.96,140.77
300115,长盈精密,创业板,未知,未归类,36.47,34.99,800,29176.0,17.09,9.68,2339613246.69,139.18
601698,中国卫通,沪市主板,未知,未归类,39.81,38.39,700,27867.0,16.84,8.56,3643059678.08,138.68
600580,卧龙电驱,沪市主板,未知,未归类,40.64,39.52,700,28448.0,14.34,7.37,2243065980.46,138.68
688249,晶合集成,科创板,未知,半导体,36.05,34.1,800,28840.0,17.07,6.66,1983123194.34,138.64
600330,天通股份,沪市主板,未知,未归类,32.08,28.82,900,28872.0,24.44,15.02,6428314005.23,136.88
600988,赤峰黄金,沪市主板,未知,有色金属,42.04,41.58,700,29428.0,19.33,10.63,2903724394.12,136.66
000960,锡业股份,深市主板,未知,未归类,41.31,39.06,700,28917.0,21.5,17.19,3400206424.8,136.0
